
OptiFine_1.4.6_HD_C3
Sat Apr 20 15:27:36 EDT 2013
OS: Windows 7 (amd64) version 6.1
Java: 1.7.0_21, Oracle Corporation
VM: Java HotSpot(TM) 64-Bit Server VM (mixed mode), Oracle Corporation
LWJGL: 2.4.2
OpenGL: GeForce GTX 580/PCIe/SSE2 version 4.3.0, NVIDIA Corporation
OpenGL Version: 4.0
(Reflector) Class not present: LightCache
(Reflector) Class not present: BlockCoord
TextureFX registered: ic2.core.TextureLiquidFX@4d19c0e7, texId: 11, index: 202
TextureFX registered: bdj@4e7129be, texId: 26, index: 237
TextureFX registered: bdm@59769a70, texId: 26, index: 205
TextureFX registered: bdk@79955cf2, texId: 26, index: 14
TextureFX registered: bdf@5662c3c1, texId: 27, index: 54
TextureFX registered: bde@7657dedf, texId: 27, index: 70
TextureFX registered: bdl@62fb259e, texId: 26, index: 206
TextureFX registered: bdi@5662dad6, texId: 26, index: 238
TextureFX registered: bdh@740d43e8, texId: 26, index: 31
TextureFX registered: bdh@12e56fde, texId: 26, index: 47
TextureFX removed: bdj@4e7129be, texId: 26, index: 237
TextureFX registered: TextureHDLavaFX@46e7d1cd, texId: 26, index: 237
TextureFX removed: bdm@59769a70, texId: 26, index: 205
TextureFX registered: TextureHDWaterFX@1d7f0e19, texId: 26, index: 205
TextureFX removed: bdk@79955cf2, texId: 26, index: 14
TextureFX registered: TextureHDPortalFX@769a70, texId: 26, index: 14
TextureFX removed: bdl@62fb259e, texId: 26, index: 206
TextureFX registered: TextureHDWaterFlowFX@6a952f4c, texId: 26, index: 206
TextureFX removed: bdi@5662dad6, texId: 26, index: 238
TextureFX registered: TextureHDLavaFlowFX@68545d3e, texId: 26, index: 238
TextureFX removed: bdh@740d43e8, texId: 26, index: 31
TextureFX registered: TextureHDFlamesFX@544facfc, texId: 26, index: 31
TextureFX removed: bdh@12e56fde, texId: 26, index: 47
TextureFX registered: TextureHDFlamesFX@3ae5ffa2, texId: 26, index: 47
TextureFX removed: bdf@5662c3c1, texId: 27, index: 54
TextureFX registered: TextureHDCompassFX@67ebae8e, texId: 27, index: 54
TextureFX removed: bde@7657dedf, texId: 27, index: 70
TextureFX registered: TextureHDWatchFX@6c795832, texId: 27, index: 70
Loading custom colors: /misc/grasscolor.png
Loading custom colors: /misc/foliagecolor.png
TextureFX registered: buildcraft.energy.render.TextureOilFX@38520a03, texId: 29, index: 205
TextureFX registered: buildcraft.energy.render.TextureFuelFX@120f67d8, texId: 30, index: 0
TextureFX registered: buildcraft.energy.render.TextureOilFlowFX@316a9f2b, texId: 29, index: 206
TextureFX registered: thermalexpansion.core.render.TextureRedstoneFX@1aa5104e, texId: 47, index: 0
TextureFX registered: thermalexpansion.core.render.TextureRedstoneFX@4ad17e8c, texId: 47, index: 1
TextureFX registered: thermalexpansion.core.render.TextureRedstoneFX@7fcb3fb3, texId: 47, index: 2
TextureFX registered: thermalexpansion.core.render.TextureRedstoneFX@78c34250, texId: 47, index: 3
TextureFX registered: thermalexpansion.core.render.TextureRedstoneFX@5b36d020, texId: 47, index: 4
TextureFX registered: thermalexpansion.core.render.TextureRedstoneFX@6b9a13a8, texId: 47, index: 5
TextureFX registered: thermalexpansion.core.render.TextureRedstoneFX@5080b1c8, texId: 47, index: 6
TextureFX registered: thermalexpansion.core.render.TextureRedstoneFX@3117eac2, texId: 47, index: 7
TextureFX registered: thermalexpansion.core.render.TextureRedstoneFX@19357fbc, texId: 47, index: 8
TextureFX registered: thermalexpansion.core.render.TextureRedstoneFX@7551c92, texId: 47, index: 9
TextureFX registered: thermalexpansion.core.render.TextureRedstoneFX@64c6b900, texId: 47, index: 10
TextureFX registered: thermalexpansion.core.render.TextureRedstoneFX@329be2b0, texId: 47, index: 11
TextureFX registered: thermalexpansion.core.render.TextureRedstoneFX@183faac5, texId: 47, index: 12
TextureFX registered: thermalexpansion.core.render.TextureRedstoneFX@7be477f2, texId: 47, index: 13
TextureFX registered: thermalexpansion.core.render.TextureRedstoneFX@547ef069, texId: 47, index: 14
TextureFX registered: thermalexpansion.core.render.TextureRedstoneFX@59d9a8d5, texId: 47, index: 15
TextureFX registered: thermalexpansion.core.render.TextureEnderFX@67fe4cad, texId: 47, index: 64
TextureFX registered: forestry.core.render.TextureBiomassFX@73f495a8, texId: 739, index: 13
TextureFX registered: forestry.core.render.TextureBiofuelFX@5ce3b98b, texId: 739, index: 12
TextureFX registered: forestry.core.render.TextureMilkFX@15de323e, texId: 739, index: 15
TextureFX registered: forestry.core.render.TextureHoneyFX@56887280, texId: 739, index: 76
TextureFX registered: forestry.core.render.TextureSeedOilFX@4ea69ecc, texId: 739, index: 74
TextureFX registered: forestry.core.render.TextureJuiceFX@2ec76955, texId: 739, index: 75
TextureFX registered: forestry.core.render.TextureMeadFX@53592e84, texId: 739, index: 77
TextureFX registered: forestry.core.render.TextureGlassFX@1c7da48, texId: 739, index: 49
TextureFX registered: forestry.core.render.TextureIceFX@3e9491c8, texId: 739, index: 73
TextureFX registered: forestry.core.render.TextureHabitatLocatorFX@7cd47fbe, texId: 472, index: 105
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 37, texId: 513, index: 37
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 38, texId: 513, index: 38
TextureFX registered: icbm.wanyi.FXGenZhongQi@78b78a6b, texId: 22, index: 0
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 35, texId: 513, index: 35
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 36, texId: 513, index: 36
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 33, texId: 513, index: 33
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 34, texId: 513, index: 34
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 31, texId: 513, index: 31
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 32, texId: 513, index: 32
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 45, texId: 513, index: 45
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 46, texId: 513, index: 46
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 43, texId: 513, index: 43
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 44, texId: 513, index: 44
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 41, texId: 513, index: 41
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 42, texId: 513, index: 42
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 39, texId: 513, index: 39
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 40, texId: 513, index: 40
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 54, texId: 513, index: 54
TextureFX registered: mekanism.client.TextureAnimatedFX@1fc93f23, texId: 553, index: 246
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 53, texId: 513, index: 53
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 52, texId: 513, index: 52
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 51, texId: 513, index: 51
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 50, texId: 513, index: 50
TextureFX registered: mekanism.client.TextureAnimatedFX@52ce1f8, texId: 553, index: 244
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 49, texId: 513, index: 49
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 48, texId: 513, index: 48
TextureFX registered: mekanism.client.TextureAnimatedFX@22a0e53, texId: 553, index: 245
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 47, texId: 513, index: 47
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 62, texId: 513, index: 62
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 61, texId: 513, index: 61
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 60, texId: 513, index: 60
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 59, texId: 513, index: 59
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 58, texId: 513, index: 58
TextureFX registered: mekanism.client.TextureAnimatedFX@746aeb06, texId: 553, index: 249
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 57, texId: 513, index: 57
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 56, texId: 513, index: 56
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 55, texId: 513, index: 55
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 3, texId: 513, index: 3
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 4, texId: 513, index: 4
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 5, texId: 513, index: 5
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 6, texId: 513, index: 6
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 0, texId: 513, index: 0
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 1, texId: 513, index: 1
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 2, texId: 513, index: 2
TextureFX registered: mekanism.client.TextureAnimatedFX@46ca9c62, texId: 553, index: 243
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 11, texId: 513, index: 11
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 12, texId: 513, index: 12
TextureFX registered: mekanism.client.TextureAnimatedFX@55d5fe4d, texId: 553, index: 242
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 13, texId: 513, index: 13
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 14, texId: 513, index: 14
TextureFX registered: mekanism.client.TextureAnimatedFX@3563d0ff, texId: 553, index: 241
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 7, texId: 513, index: 7
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 8, texId: 513, index: 8
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 9, texId: 513, index: 9
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 10, texId: 513, index: 10
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 20, texId: 513, index: 20
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 19, texId: 513, index: 19
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 22, texId: 513, index: 22
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 21, texId: 513, index: 21
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 16, texId: 513, index: 16
TextureFX registered: dan200.computer.client.TextureComputerFX@1d26dd91, texId: 33, index: 20
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 15, texId: 513, index: 15
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 18, texId: 513, index: 18
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 17, texId: 513, index: 17
